recall_id,study_id,period,survey_type,location_id,location_type,site_id,household_id,HPD,HDI,REM,FCI,education,num_participants,num_ame,days,mdays,consumption,frequency,quantity
849,6,1,3,1,3,1,2086,281.981,0.601,172.8959831,2347.753925,6,9,8,1,9,0,0,0
850,6,1,3,1,3,1,2087,281.981,0.601,172.8959831,2347.753925,3,7,5,1,9,0,0,0
851,6,1,3,1,3,1,2093,281.981,0.601,172.8959831,2347.753925,6,5,4,1,9,0,0,0
852,6,1,3,3,3,3,2141,26.973,0.63,823.0665874,7713.441681,6,5,4,1,9,0,0,0
853,6,1,3,9,2,9,2151,2.841,0.568,936.1159763,3791.490837,5,4,3,1,9,0,0.111111111,0
854,6,1,3,8,1,8,2163,1.306,0.578,706.6242745,8991.144255,4,11,8,1,9,1,0.222222222,0.549
855,6,1,3,3,3,3,2171,26.973,0.63,823.0665874,7713.441681,6,9,7,1,9,0,0.111111111,0
856,6,1,3,3,3,3,2173,26.973,0.63,823.0665874,7713.441681,3,6,5,1,9,0,0,0
857,6,1,3,1,3,1,2190,281.981,0.601,172.8959831,2347.753925,6,4,3,1,9,0,0,0
858,6,1,3,1,3,1,2190,281.981,0.601,172.8959831,2347.753925,6,4,3,1,9,0,0,0
859,6,1,3,9,2,9,2204,2.841,0.568,936.1159763,3791.490837,5,4,3,1,9,0,0.111111111,0
860,6,1,3,1,3,1,2215,281.981,0.601,172.8959831,2347.753925,6,2,2,1,9,0,0,0
861,6,1,3,8,1,8,2235,1.306,0.578,706.6242745,8991.144255,1,2,2,1,9,0,0.222222222,0
862,6,1,3,1,3,1,2269,281.981,0.601,172.8959831,2347.753925,6,6,5,1,9,0,0,0
863,6,1,3,4,2,4,2281,2.256,0.556,1318.886093,9438.887866,2,9,7,1,9,0,0.111111111,0
864,6,1,3,4,2,4,2285,2.256,0.556,1318.886093,9438.887866,5,15,11,1,9,0,0.333333333,0
865,6,1,3,1,3,1,2305,281.981,0.601,172.8959831,2347.753925,7,11,9,1,9,0,0.222222222,0
866,6,1,3,3,3,3,2309,26.973,0.63,823.0665874,7713.441681,6,4,3,1,9,0,0,0
867,6,1,3,3,3,3,2314,26.973,0.63,823.0665874,7713.441681,6,7,5,1,9,0,0.111111111,0
868,6,1,3,1,3,1,2315,281.981,0.601,172.8959831,2347.753925,6,13,9,1,9,0,0,0
869,6,1,3,8,1,8,2334,1.306,0.578,706.6242745,8991.144255,1,5,5,1,8,0,0,0
870,6,1,3,3,3,3,2351,26.973,0.63,823.0665874,7713.441681,6,3,2,1,9,0,0.111111111,0
871,6,1,3,3,3,3,2367,26.973,0.63,823.0665874,7713.441681,3,22,15,1,9,0,0,0
872,6,1,3,3,3,3,2370,26.973,0.63,823.0665874,7713.441681,3,12,10,1,9,0,0,0
873,6,1,3,8,1,8,2376,1.306,0.578,706.6242745,8991.144255,1,13,11,1,9,0,0,0
874,6,1,3,6,2,6,2388,8.322,0.603,488.3880137,7222.608627,2,13,10,1,9,0,0.222222222,0
875,6,1,3,6,2,6,2388,8.322,0.603,488.3880137,7222.608627,2,13,10,1,9,0,0.222222222,0
